account_id,account_type,account_identifier,owner_person_id,organization_id,status,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
ACC-006642,wallet,SYN-ACCT-00006642,PER-020106,ORG-00629,active,true,SYNTHETIC,,,MEDIUM,
ACC-006766,business,SYN-ACCT-00006766,PER-021219,ORG-00168,active,true,SYNTHETIC,,,MEDIUM,
ACC-006960,savings,SYN-ACCT-00006960,PER-017239,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-007214,wallet,SYN-ACCT-00007214,PER-002269,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-007398,business,SYN-ACCT-00007398,PER-022857,,active,true,SYNTHETIC,,,MEDIUM,
ACC-007625,wallet,SYN-ACCT-00007625,PER-035465,,active,true,SYNTHETIC,,,MEDIUM,
ACC-007700,wallet,SYN-ACCT-00007700,PER-019375,,active,true,SYNTHETIC,,,MEDIUM,
ACC-007708,current,SYN-ACCT-00007708,PER-017602,,active,true,SYNTHETIC,,,MEDIUM,
ACC-007800,wallet,SYN-ACCT-00007800,PER-023957,,active,true,SYNTHETIC,,,MEDIUM,
ACC-008434,business,SYN-ACCT-00008434,PER-028498,,active,true,SYNTHETIC,,,MEDIUM,
ACC-008563,savings,SYN-ACCT-00008563,PER-002304,,active,true,SYNTHETIC,,,MEDIUM,
ACC-008764,savings,SYN-ACCT-00008764,PER-019374,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-008869,savings,SYN-ACCT-00008869,PER-002220,,active,true,SYNTHETIC,,,MEDIUM,
ACC-009322,personal,SYN-ACCT-00009322,PER-031219,ORG-00435,active,true,SYNTHETIC,,,MEDIUM,
ACC-009626,personal,SYN-ACCT-00009626,PER-006443,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-009931,savings,SYN-ACCT-00009931,PER-006784,,active,true,SYNTHETIC,,,MEDIUM,
ACC-009968,personal,SYN-ACCT-00009968,PER-020096,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-010183,business,SYN-ACCT-00010183,PER-028498,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-010464,business,SYN-ACCT-00010464,PER-020106,,active,true,SYNTHETIC,,,MEDIUM,
ACC-011029,personal,SYN-ACCT-00011029,PER-020096,,active,true,SYNTHETIC,,,MEDIUM,
ACC-011213,personal,SYN-ACCT-00011213,PER-028498,,active,true,SYNTHETIC,,,MEDIUM,
ACC-011578,personal,SYN-ACCT-00011578,PER-028494,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-011807,wallet,SYN-ACCT-00011807,,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-011882,current,SYN-ACCT-00011882,PER-035465,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-012058,wallet,SYN-ACCT-00012058,PER-035773,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-012907,personal,SYN-ACCT-00012907,PER-009626,ORG-02321,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-012932,wallet,SYN-ACCT-00012932,PER-009651,ORG-02726,closed,true,SYNTHETIC,,,MEDIUM,
ACC-013737,personal,SYN-ACCT-00013737,PER-028447,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-013901,current,SYN-ACCT-00013901,PER-012181,,active,true,SYNTHETIC,,,MEDIUM,
ACC-013910,wallet,SYN-ACCT-00013910,PER-044506,,active,true,SYNTHETIC,,,MEDIUM,
ACC-014637,wallet,SYN-ACCT-00014637,PER-017637,,active,true,SYNTHETIC,,,MEDIUM,
ACC-014788,personal,SYN-ACCT-00014788,PER-029381,ORG-04598,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-015410,current,SYN-ACCT-00015410,PER-028283,,active,true,SYNTHETIC,,,MEDIUM,
ACC-015999,current,SYN-ACCT-00015999,PER-020100,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-016012,business,SYN-ACCT-00016012,PER-009628,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-016259,savings,SYN-ACCT-00016259,PER-031212,,active,true,SYNTHETIC,,,MEDIUM,
ACC-016312,current,SYN-ACCT-00016312,PER-020096,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-016562,personal,SYN-ACCT-00016562,PER-048279,,active,true,SYNTHETIC,,,MEDIUM,
ACC-016783,wallet,SYN-ACCT-00016783,PER-018950,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-016837,personal,SYN-ACCT-00016837,PER-027613,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-017195,current,SYN-ACCT-00017195,PER-019374,ORG-00912,active,true,SYNTHETIC,,,MEDIUM,
ACC-017333,current,SYN-ACCT-00017333,PER-009651,ORG-02726,active,true,SYNTHETIC,,,MEDIUM,
ACC-017424,personal,SYN-ACCT-00017424,PER-010131,,active,true,SYNTHETIC,,,MEDIUM,
ACC-017525,business,SYN-ACCT-00017525,PER-028450,,active,true,SYNTHETIC,,,MEDIUM,
ACC-017567,personal,SYN-ACCT-00017567,PER-010137,ORG-00975,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-017572,wallet,SYN-ACCT-00017572,PER-000366,,active,true,SYNTHETIC,,,MEDIUM,
ACC-017782,personal,SYN-ACCT-00017782,PER-022852,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-018585,current,SYN-ACCT-00018585,PER-023945,,active,true,SYNTHETIC,,,MEDIUM,
ACC-018595,savings,SYN-ACCT-00018595,PER-007236,,active,true,SYNTHETIC,,,MEDIUM,
ACC-018803,current,SYN-ACCT-00018803,PER-000886,,active,true,SYNTHETIC,,,MEDIUM,
ACC-019098,business,SYN-ACCT-00019098,PER-009628,,active,true,SYNTHETIC,,,MEDIUM,
ACC-019601,business,SYN-ACCT-00019601,PER-002324,,active,true,SYNTHETIC,,,MEDIUM,
ACC-019814,current,SYN-ACCT-00019814,PER-027301,,active,true,SYNTHETIC,,,MEDIUM,
ACC-020137,savings,SYN-ACCT-00020137,PER-028283,,active,true,SYNTHETIC,,,MEDIUM,
ACC-020250,business,SYN-ACCT-00020250,PER-010131,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-020475,wallet,SYN-ACCT-00020475,PER-033330,,active,true,SYNTHETIC,,,MEDIUM,
ACC-020589,personal,SYN-ACCT-00020589,PER-028278,ORG-02308,active,true,SYNTHETIC,,,MEDIUM,
ACC-020994,wallet,SYN-ACCT-00020994,PER-029525,,active,true,SYNTHETIC,,,MEDIUM,
ACC-021696,savings,SYN-ACCT-00021696,PER-025339,,active,true,SYNTHETIC,,,MEDIUM,
ACC-022166,business,SYN-ACCT-00022166,PER-003233,,active,true,SYNTHETIC,,,MEDIUM,
ACC-022463,wallet,SYN-ACCT-00022463,PER-027182,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-022857,wallet,SYN-ACCT-00022857,PER-016433,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-023236,personal,SYN-ACCT-00023236,PER-007245,,active,true,SYNTHETIC,,,MEDIUM,
ACC-023572,savings,SYN-ACCT-00023572,PER-028121,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-023707,business,SYN-ACCT-00023707,PER-020854,ORG-04381,active,true,SYNTHETIC,,,MEDIUM,
ACC-023954,business,SYN-ACCT-00023954,PER-017239,,active,true,SYNTHETIC,,,MEDIUM,
ACC-024159,business,SYN-ACCT-00024159,PER-016984,ORG-03164,active,true,SYNTHETIC,,,MEDIUM,
ACC-024231,wallet,SYN-ACCT-00024231,PER-028494,ORG-04651,active,true,SYNTHETIC,,,MEDIUM,
ACC-025077,wallet,SYN-ACCT-00025077,PER-017223,,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-026024,business,SYN-ACCT-00026024,PER-020235,ORG-03272,dormant,true,SYNTHETIC,,,MEDIUM,
ACC-026187,wallet,SYN-ACCT-00026187,PER-014212,ORG-03956,active,true,SYNTHETIC,,,MEDIUM,
ACC-026425,personal,SYN-ACCT-00026425,PER-028959,ORG-01840,active,true,SYNTHETIC,,,MEDIUM,
ACC-026629,savings,SYN-ACCT-00026629,PER-018950,,active,true,SYNTHETIC,,,MEDIUM,
ACC-026691,current,SYN-ACCT-00026691,PER-002277,,active,true,SYNTHETIC,,,MEDIUM,
ACC-026768,wallet,SYN-ACCT-00026768,PER-007797,,active,true,SYNTHETIC,,,MEDIUM,
ACC-027076,wallet,SYN-ACCT-00027076,PER-011641,,active,true,SYNTHETIC,,,MEDIUM,
ACC-028020,wallet,SYN-ACCT-00028020,PER-043086,,active,true,SYNTHETIC,,,MEDIUM,
ACC-028214,current,SYN-ACCT-00028214,PER-029521,ORG-01940,closed,true,SYNTHETIC,,,MEDIUM,
ACC-028994,current,SYN-ACCT-00028994,PER-029805,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-029222,personal,SYN-ACCT-00029222,PER-035465,,active,true,SYNTHETIC,,,MEDIUM,
ACC-029454,business,SYN-ACCT-00029454,PER-018958,,active,true,SYNTHETIC,,,MEDIUM,
ACC-029568,savings,SYN-ACCT-00029568,PER-021869,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-029574,business,SYN-ACCT-00029574,PER-003235,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-029579,current,SYN-ACCT-00029579,PER-007245,,closed,true,SYNTHETIC,,,MEDIUM,
ACC-029730,business,SYN-ACCT-00029730,PER-006443,,active,true,SYNTHETIC,,,MEDIUM,
ACC-029901,savings,SYN-ACCT-00029901,PER-049960,,active,true,SYNTHETIC,,,MEDIUM,
