phone_id,phone_number,phone_type,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
PH-029455,+919900029455,secondary,true,SYNTHETIC,,,MEDIUM,
PH-029854,+919900029854,virtual,true,SYNTHETIC,,,MEDIUM,
PH-030044,+919900030044,virtual,true,SYNTHETIC,,,MEDIUM,
PH-030408,+919900030408,mobile,true,SYNTHETIC,,,MEDIUM,
PH-030677,+919900030677,mobile,true,SYNTHETIC,,,MEDIUM,
PH-030692,+919900030692,business,true,SYNTHETIC,,,MEDIUM,
PH-031235,+919900031235,virtual,true,SYNTHETIC,,,MEDIUM,
PH-031610,+919900031610,secondary,true,SYNTHETIC,,,MEDIUM,
PH-032658,+919900032658,virtual,true,SYNTHETIC,,,MEDIUM,
PH-032887,+919900032887,mobile,true,SYNTHETIC,,,MEDIUM,
PH-033163,+919900033163,business,true,SYNTHETIC,,,MEDIUM,
PH-033378,+919900033378,secondary,true,SYNTHETIC,,,MEDIUM,
PH-033741,+919900033741,mobile,true,SYNTHETIC,,,MEDIUM,
PH-034277,+919900034277,business,true,SYNTHETIC,,,MEDIUM,
